id,created_at,enabled,price_range,average_ticket,takeout_time,delivery_time,minimum_order_value,merchant_zip_code,merchant_city,merchant_state,merchant_country
7a4b2b17b1c48957a9f44f921afc5579eee2a2947553bc625effab64d3427f0a,2017-01-20T13:14:22.984Z,true,1,30.0,0,0,15.0,40430,SAO PAULO,SP,BR
11ebaba46021263892cd9e4f3aa585266bc1a0506ed0e6c6fb4be4dbe1b3792e,2017-01-23T12:50:08.000Z,false,1,30.0,0,40,0.0,41603,SALVADOR,BA,BR
e5000b86b0fce8d98ac6a5230f269c5341ba513b947d1835bdb51a7d7149cb18,2017-01-23T12:38:51.130Z,true,3,60.0,0,0,20.0,57061,MACEIO,AL,BR
f63537e0410e27552686588e991bf88c282e399a17f65589f2a06068abd1eb2d,2017-01-20T13:15:02.528Z,true,3,60.0,0,0,20.0,34220,SAO PAULO,SP,BR
28bea581de3e25b0b4ae01730e7ea64f31944fca948fc15928768546e55c6960,2017-01-20T13:15:39.380Z,false,3,60.0,0,40,20.0,91902,SANTO ANDRE,SP,BR
fd7fcdcdcec374c142e12544d492979272d6a14a2ebcb98ece00d826556fc5cf,2017-01-20T13:15:06.259Z,true,3,60.0,20,0,14.0,12230,SAO JOSE DOS CAMPOS,SP,BR
c6ca4737ad2953cc0e3d2ede4ded562a30eb84e98a10c18badbd7c7ab1146a77,2017-01-20T13:14:13.601Z,true,3,60.0,0,0,28.0,96191,SAO BERNARDO DO CAMPO,SP,BR
6e20fb04a5b724c9b2f1778ee0fac0a54f8d54d5f9e48032e1bbe26dbef5b316,2017-01-20T13:15:32.500Z,true,4,80.0,0,0,0.0,41810,SALVADOR,BA,BR
1ca997daf04f5203e383e1f883de5ca00bb445f0574fea13acb63841e6e5a2bd,2017-01-20T13:15:40.396Z,false,3,60.0,0,0,25.0,97501,SAO BERNARDO DO CAMPO,SP,BR
141770f50a105de753d217a3bf2ff079846ddc7662afce346c43f318eb10e4bb,2017-01-20T13:14:02.390Z,true,4,80.0,0,0,25.0,31690,SAO PAULO,SP,BR
cc85c79f8e6c79f8cf6a9b37e87b5e98fb2d977b8f001ea5d44e38f669ca2ae6,2017-01-20T13:15:07.726Z,false,4,80.0,0,60,25.0,22640,RIO DE JANEIRO,RJ,BR
9a0202e27bae5f338ccc0e45afb8af319bff549b45397c270fade73db4fbe8f0,2017-01-20T13:14:40.677Z,true,3,60.0,0,75,0.0,58045,JOAO PESSOA,PB,BR
e18b70c035be7f7f45ed804faf3387e5ec9123e50fb0166681877c2f98d929f7,2017-01-20T13:16:05.211Z,false,3,60.0,0,45,23.0,12220,SAO PAULO,SP,BR
613231589ff5632824238c9b1ba90f47d7224d3d226bff173d341d424bbb8789,2017-01-20T13:15:54.730Z,true,3,60.0,0,0,20.0,54310,JABOATAO DOS GUARARAPES,PE,BR
6e82d88d64d3826002c2c08e02b2d028599f944ed2a46ce4c882f52df513967f,2017-01-20T13:13:58.616Z,true,3,60.0,20,20,15.0,27100,SAO PAULO,SP,BR
7d88ff98490ae17df403c9f9816ce09e2fd24fe9e274e4a2e6b153d763dd7668,2017-01-20T13:15:57.773Z,true,2,30.0,0,0,15.0,30330,SAO PAULO,SP,BR
24e49802b61ff124468b0eb02b3e28a29ae437954b01ec18e2f3f72ef533311d,2017-01-20T13:14:41.589Z,false,3,60.0,0,50,0.0,70050,BRASILIA,DF,BR
fa140fe3df83f225f95a07243a0b7134a3a119756a428c377a847e0b38e8c853,2017-01-20T13:13:58.640Z,false,4,80.0,0,50,30.0,21940,RIO DE JANEIRO,RJ,BR
3f561ec11b3575168f4661eb0d528d347943e7704092fc0fb8a40fc3c90ae2ec,2017-01-20T13:15:11.851Z,true,4,81.0,20,50,0.0,95080,CAXIAS DO SUL,RS,BR
1761f4ff2b6c2f5f1e27a3f02ae4d667c65754ed6edbc24f10efc0c7a4808985,2017-01-20T13:15:17.988Z,true,2,40.0,25,0,15.0,34030,SAO PAULO,SP,BR
a353f6d1343179a719e8a6568182f9e3d26f07ce19a0ec72e16d89ce6f8f181e,2017-01-23T12:35:30.927Z,true,2,60.0,0,30,12.0,43100,SAO PAULO,SP,BR
ae398f1880558e1218575b515e23008a68eaf76071f45d693267d7f65c375cd4,2017-01-20T13:14:29.526Z,true,5,80.0,0,40,15.0,22640,RIO DE JANEIRO,RJ,BR
13b75031c73e5e26f47b3020a22dc89cd57342adfb306f36b7dfa76de47148bd,2017-01-20T13:15:23.380Z,true,4,60.0,5,0,30.0,22410,RIO DE JANEIRO,RJ,BR
dd3dfd0b84679dda82e592c0d10428cfa5c53af8e3ef6c53aa866c9e9f428262,2017-01-20T13:14:49.512Z,true,3,60.0,0,60,40.0,47740,SAO PAULO,SP,BR
11b65b3b1dfe7d62ace34a9461a6ca94d3a2aa1abd0ff0b3ba2ac1895b82f3d4,2017-01-20T13:14:13.958Z,false,3,60.0,0,0,25.0,30110,BELO HORIZONTE,MG,BR
058d024d7ac3228ce7d23f561a51dc337b548874ba73f6dbe46a4913c7ff0328,2017-01-20T13:13:21.869Z,true,1,30.0,15,0,10.0,13091,CAMPINAS,SP,BR
cfc5e8308759cea527bdc9912273f397aeb1ddb9f76010100ee5c57706298549,2017-01-20T13:13:47.820Z,false,1,30.0,0,50,10.0,21050,RIO DE JANEIRO,RJ,BR
daa0aee13da0afabdbb604563c3fb904ce9f0b17a7cf425957231cc6beb813a4,2017-01-20T13:15:59.652Z,true,1,30.0,0,0,15.0,13060,CAMPINAS,SP,BR
c9a6cd7c7cf008f4fd30bffbf85a251860f62aad993c01accb07a61108d2385a,2017-01-23T12:31:25.678Z,false,3,60.0,0,40,15.0,61940,OSASCO,SP,BR
14775cb65f56f115fee2f8e4c03459e02e2c93e86479102c6d2c817c3729f521,2017-01-23T12:49:16.423Z,false,1,30.0,0,45,20.0,30330,BELO HORIZONTE,MG,BR
2af4eb7487f285d0762abb245897d104c9db91bac01518f0b89aa25e9e940525,2017-01-20T13:15:17.370Z,true,4,80.0,0,45,0.0,22640,RIO DE JANEIRO,RJ,BR
419916d50ac47e7d2b18d8038569270169401fd21c01100c1f07424662e1e8d0,2017-01-20T13:15:34.864Z,false,3,60.0,0,60,25.0,41830,SALVADOR,BA,BR
451eba77f68fbc01f51ac4292d87c01b6249a58a048cb73c8e7b3fa8ada5a6eb,2017-01-20T13:14:00.399Z,true,4,80.0,0,0,9.9,41810,SALVADOR,BA,BR
68247e9ffc09c792af31f66899e53944a00a60546c20184b6da939c56f7c4d37,2017-01-20T13:14:39.518Z,true,3,60.0,20,0,10.0,14015,RIBEIRAO PRETO,SP,BR
d076289d50bb5c0fe6f0987d16b00073f3662cae0bc46f0e2659d45fabe6de81,2017-01-20T13:15:43.745Z,true,2,40.0,0,0,21.0,38017,UBERABA,MG,BR
1d9a04ff949cb77d7c74c6547beddc777cb639b7fb8c633d1180d4a3e092ebd9,2017-01-20T13:15:52.064Z,true,3,60.0,0,0,0.0,15340,SAO PAULO,SP,BR
c19dba5902888b0979745d23d8d12983d7affdd43f260e441ca971547f9657c1,2017-01-23T12:48:17.386Z,false,1,30.0,0,50,11.0,32810,SAO PAULO,SP,BR
1386377a3c569fcf20098b5dabbbccc28173bdaa077743cefc8089ed7af6e081,2017-01-20T13:13:24.669Z,true,4,80.0,20,0,28.0,13024,CAMPINAS,SP,BR
8407d3fa9e1a97c5175b6a9f70478933317c84082506ad6d875a83181c33009b,2017-01-20T13:15:07.748Z,false,2,40.0,0,90,0.0,36033,JUIZ DE FORA,MG,BR
e6c4f7aa4944ddb3952b4c0b44235e9a6653b1c49c733189722c239ddaf1cf1d,2017-01-20T13:15:43.792Z,true,3,30.0,0,0,4.0,38082,UBERABA,MG,BR
98425564da9e7489af4d44a8bcc20fe1e693afab69c1a764907b8f964f52a240,2017-01-20T13:13:38.745Z,false,4,80.0,0,60,29.0,30140,BELO HORIZONTE,MG,BR
a5cd17b373a1d7c91fe1fc866e93f609dba32ff5f84cb7c776e70a24dd7f8f97,2017-01-20T13:15:45.816Z,false,1,30.0,0,70,0.0,29047,VITORIA,ES,BR
6f33bfab7ff0ca619884ba25bcbc4188e0b0800c51dc3de7f63720c230d8a897,2017-01-20T13:13:50.337Z,true,3,60.0,0,0,0.0,20766,RIO DE JANEIRO,RJ,BR
265ee5998742cce0d3f93de215653e621e2dca23ba6747d1a90bd52314326dc0,2017-01-23T12:34:56.301Z,false,1,30.0,0,30,10.0,20090,RIO DE JANEIRO,RJ,BR
dcf45f69a2f1dbd9e723cf30d8fdca7a9127bfd7b39f9e7d8aa1fa15affe60a9,2017-01-20T13:14:29.725Z,false,4,80.0,0,50,17.0,64530,BARUERI,SP,BR
22e75859e25f054c364807f0e9e856da4bc4034bebfb347cc54edad3aab0dfea,2017-01-20T13:15:26.499Z,true,3,40.0,0,0,0.0,66001,JANDIRA,SP,BR
2d666330e9fa87644c3b05db2c4d83c79909366f5497582f125a0a910e9a93e4,2017-01-20T13:15:45.427Z,true,3,60.0,0,0,25.0,35150,SAO PAULO,SP,BR
278b0c805022e3c52c0554e9aa931dbc92854dc8bfff54a291f7d3b92235ed80,2017-01-20T13:13:36.409Z,true,5,81.0,0,0,25.0,46070,SAO PAULO,SP,BR
79c7e1e515b1ca71f120ec3f8e766b7e11d1fec3e7b76751e4705cc06ffef4e5,2017-01-20T13:13:20.351Z,true,3,60.0,0,40,25.0,14190,SAO PAULO,SP,BR
c90eeac4c6ed0e6457ab9cd88f765ff7e3ceddb8229217d0710ce5491ada1cc7,2017-01-23T12:43:32.090Z,false,2,40.0,0,35,25.0,29055,VITORIA,ES,BR
fe917b18de8465e435f85f583cc387848443ab78ad06e3f77d7ccc14c8a1a4a3,2017-01-23T12:41:05.621Z,true,1,30.0,0,60,15.0,86050,LONDRINA,PR,BR
439dbd26f0c83d265cb43a586c64d130399bd3f730a94d3cc5fbc22a32ca0a8c,2017-01-20T13:15:19.420Z,true,2,40.0,0,0,0.0,59075,NATAL,RN,BR
40d41801ea3de2e80ae940ebdc4ddaaed0cade89f514790ac50305a89bd0d43b,2017-01-20T13:14:45.425Z,false,1,30.0,0,0,0.0,29060,VITORIA,ES,BR
be34db76125e279f815002e73305ce0a323d5dcf0fe5c573c46d7ace653149b0,2017-01-20T13:16:02.745Z,false,3,60.0,0,40,30.0,20541,RIO DE JANEIRO,RJ,BR
6f2c4dcf3445712ac560e110ce62f10fae50cdd21e931dd3b0ac2a95c444bfef,2017-01-20T13:15:19.067Z,true,2,60.0,0,0,20.0,11025,SANTOS,SP,BR
d36e51ec8cdb070b33aa093a062ac42d10ac7d3c207db15ddd8c3349365dc2e4,2017-01-20T13:14:13.714Z,false,1,30.0,0,55,19.9,31621,SAO PAULO,SP,BR
577d66470323b8a3505d6cd7d51fe76bbc34287370a8a996a7b4a302e29d007c,2017-01-20T13:13:15.776Z,true,3,81.0,0,30,0.0,45160,SAO PAULO,SP,BR
55e3f876b7d14fa14333720b0bd0d8a03d13142d7fe5af0dfea3a17186ff9431,2017-01-23T12:48:08.274Z,true,4,80.0,0,0,40.0,88104,SAO JOSE,SC,BR
0241bfcbae9fb123cfee2c42700ff7ab2ed1d80a36dbd5794683e3f684639682,2017-01-20T13:14:43.845Z,true,2,40.0,0,0,15.0,86020,LONDRINA,PR,BR
d2298aa0b94b63b085ad059685f28d28f73e89f484dec6dcaf7c46188546a87d,2017-01-20T13:13:57.483Z,false,5,100.0,0,50,0.0,22640,RIO DE JANEIRO,RJ,BR
236532e3799e80492f34cbf45b3e0f793d76d7a21a74f0b6a200837afe3f6823,2017-01-20T13:15:26.432Z,true,1,30.0,15,0,12.0,30140,BELO HORIZONTE,MG,BR
1e1e4a199fbd00e297c964f59981775b9fa0fa5b39cfc0a860ea68ed2ed814f1,2017-01-20T13:15:08.673Z,true,4,80.0,20,0,25.0,53631,SAO PAULO,SP,BR
